case,date,descrip,lat,long
JE225217,05/10/2021 02:27:00 AM,ARSON,41.685418425,-87.613863172
JE225216,05/10/2021 02:27:00 AM,ARSON,41.685418425,-87.613863172
JE250702,06/02/2021 05:31:00 AM,ARSON,41.849222028,-87.69155551
JE238404,05/22/2021 07:35:00 AM,ARSON,41.779054245,-87.697597443
JE240529,05/23/2021 11:34:00 PM,ARSON,41.950526209,-87.760140588
JE240190,05/23/2021 05:01:00 PM,ARSON,41.795030396,-87.662182827
JE240292,05/23/2021 06:10:00 PM,ARSON,41.844361092,-87.716442982
JE240485,05/23/2021 10:25:00 PM,ARSON,41.899796783,-87.734408066
JE154738,02/28/2021 03:59:00 AM,ARSON,41.73688603,-87.666741917
JE251790,06/03/2021 12:22:00 AM,ARSON,41.781063001,-87.685306041
JE251816,06/03/2021 01:36:00 AM,ARSON,41.904241141,-87.694450526
JE253110,06/04/2021 06:03:43 AM,ARSON,41.657322709,-87.606147237
JD277962,06/27/2020 12:20:00 PM,ARSON,41.95117425,-87.69816187
JE253951,06/04/2021 08:13:00 AM,ARSON,41.722330572,-87.625063541
JE254326,06/05/2021 05:07:00 AM,ARSON,41.877018903,-87.73113614
JE254420,06/05/2021 12:00:00 AM,ARSON,41.910450828,-87.679248749
JD278863,06/27/2020 07:30:00 PM,ARSON,41.768759812,-87.64970364
JD277938,06/27/2020 11:05:00 AM,ARSON,41.942454389,-87.806908665
JD306715,07/22/2020 11:57:00 PM,ARSON,41.893130911,-87.749304956
JD269065,06/19/2020 11:00:00 AM,ARSON,41.866806968,-87.720137213
JD336263,08/18/2020 02:20:00 AM,ARSON,41.878363965,-87.76347748
JD337366,08/18/2020 11:34:00 PM,ARSON,41.817506771,-87.623054656
JD298935,07/16/2020 12:48:00 AM,ARSON,41.900871065,-87.770466032
JD306826,07/23/2020 03:40:00 AM,ARSON,41.880487595,-87.745964635000007
JD279612,06/29/2020 12:56:00 AM,ARSON,41.933662135,-87.644630512
JD279675,06/29/2020 03:40:00 AM,ARSON,41.926708343,-87.645098508
JD279716,06/29/2020 05:55:00 AM,ARSON,41.929726823,-87.654753189
JD306867,07/23/2020 06:30:00 AM,ARSON,41.819984929,-87.689653672
JD280915,06/29/2020 06:30:00 PM,ARSON,41.751270895,-87.658611313
JD336235,08/18/2020 01:00:00 AM,ARSON,41.774428535,-87.607054913
JD336429,08/18/2020 07:59:00 AM,ARSON,41.808434495,-87.62443501
JD261268,06/11/2020 06:08:00 PM,ARSON,41.673087456,-87.620362101
JD281871,07/01/2020 04:12:00 AM,ARSON,41.717611221,-87.600691678
JD281876,07/01/2020 04:35:00 AM,ARSON,41.813245806,-87.633482926
JD266787,06/17/2020 10:10:00 AM,ARSON,41.723340547,-87.625074428
JD307994,07/24/2020 06:25:00 AM,ARSON,41.771074666,-87.619699641
JD375236,08/31/2020 12:40:00 AM,ARSON,41.895533185,-87.754392187
JD322260,08/05/2020 10:45:00 PM,ARSON,41.700395881,-87.529243261
JD260422,06/11/2020 12:17:00 AM,ARSON,41.85471497,-87.707776218
JD284017,07/02/2020 11:40:00 PM,ARSON,41.882001306,-87.729348734
JD260399,06/11/2020 12:20:00 AM,ARSON,41.85471497,-87.707776218
JD309088,07/25/2020 03:12:00 AM,ARSON,41.819984929,-87.689653672
JD338443,08/19/2020 10:55:00 PM,ARSON,41.77767989,-87.662462752
JD341549,08/17/2020 09:00:00 PM,ARSON,41.892957122,-87.761118373
JD262285,06/12/2020 06:15:00 PM,ARSON,41.749530884,-87.554066548
JD337487,08/19/2020 06:10:00 AM,ARSON,41.86718783,-87.71644019
JD261522,06/12/2020 04:12:00 AM,ARSON,41.881172542,-87.758763179
JD285671,07/04/2020 01:22:00 PM,ARSON,41.898155638,-87.728630875
JD286182,07/04/2020 11:16:00 PM,ARSON,41.924858317,-87.691948212
