case_number,date_of_occurrence,primary_description,latitude,longitude
JD414794,10/29/2020 07:02:00 PM,HOMICIDE,41.895444899,-87.71789096
JE105104,01/06/2021 03:37:00 PM,HOMICIDE,41.912476113,-87.706815747
JE224341,05/09/2021 05:27:00 AM,HOMICIDE,41.86522282,-87.657421861
JD317098,08/01/2020 05:39:00 AM,HOMICIDE,41.782078079,-87.7020077
JE106050,01/07/2021 04:00:00 PM,HOMICIDE,41.778656405,-87.684846319
JD462480,12/19/2020 12:00:00 PM,HOMICIDE,41.907682878,-87.75621478
JD450372,12/05/2020 01:40:00 PM,HOMICIDE,41.937997275,-87.70880433
JD465657,12/21/2020 06:15:00 PM,HOMICIDE,41.839313408,-87.643885291
JE122490,01/25/2021 07:02:00 AM,HOMICIDE,41.953610209,-87.73161785
JE133828,02/06/2021 05:53:00 AM,HOMICIDE,41.851727741,-87.708513726
JD369513,09/16/2020 06:54:00 PM,HOMICIDE,41.968338342,-87.719171817
JD415988,10/30/2020 10:09:00 PM,HOMICIDE,41.682864732,-87.668767778
JD397578,10/12/2020 11:13:00 PM,HOMICIDE,41.907338322,-87.7102384
JD414483,10/29/2020 02:41:00 PM,HOMICIDE,41.95671059,-87.652882438
JE190809,04/06/2021 03:48:00 AM,HOMICIDE,41.87188478,-87.760168151
JD272406,06/22/2020 01:26:00 PM,HOMICIDE,41.736700905,-87.667945593
JE173689,03/31/2021 02:54:00 PM,HOMICIDE,42.007820636,-87.671077348
JD272406,09/05/2020 05:17:00 PM,HOMICIDE,41.736700905,-87.667945593
JD272406,06/22/2020 01:01:00 PM,HOMICIDE,41.736700905,-87.667945593
JE191249,04/06/2021 02:41:00 PM,HOMICIDE,41.752804787,-87.554059932
JE146555,02/20/2021 01:28:00 AM,HOMICIDE,41.750226609,-87.673482519
JE106469,01/08/2021 12:02:00 AM,HOMICIDE,41.877136581,-87.721727562
JD415066,12/05/2020 08:40:00 PM,HOMICIDE,41.86641507,-87.705004143
JE135055,02/07/2021 01:05:00 PM,HOMICIDE,41.875559923,-87.745088126
JE135554,02/07/2021 11:32:00 PM,HOMICIDE,41.754703829,-87.566292464
JE191686,04/06/2021 09:40:00 PM,HOMICIDE,41.862526771,-87.704058362
JD417016,10/31/2020 09:04:00 PM,HOMICIDE,41.771683937,-87.571002493
